DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lockoutTime,lastLogonTimestamp,msDS-SupportedEncryptionTypes,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,operatingSystemServicePack,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,lastSetTime,priorSetTime,givenName,userPrincipalName,gPCUserExtensionNames
"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecPolicy,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5718,,5718,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},X'f40f053a9ab8e04b90a0dc4e27cb03f8',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},"For all IP traffic, always request security using Kerberos trust. Allow unsecured communication with clients that do not respond to request.",TRUE,,,,,,,,,Server (Request Security),{72385230-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5719,,5719,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},X'5f0d63c5fafc694d9a8c02ace8168fa4',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{72385231-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d30214001000068d219511d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNFA,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5720,,5720,ipsecNFA{72385232-70FA-11D1-864C-14A300000000},X'65b3a76e5eb88448a7c5ea8126225415',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{72385232-70FA-11D1-864C-14A300000000},"For all IP traffic, always request security using Kerberos trust. Allow unsecured communication with clients that do not respond to request.",TRUE,,,,,,,,,Request Security (Optional) Rule,{72385232-70FA-11D1-864C-14A300000000},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNFA,"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5721,,5721,ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},X'9d1ca768aa9f614199985bfc7848671a',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNFA,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5722,,5722,ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},X'339f16c0326e364d8cbf932d72ad39a0',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},Permit unsecure ICMP packets to pass through.,TRUE,,,,,,,,,Permit unsecure ICMP packets to pass through.,{594272E2-071D-11D3-AD22-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5735,,5735,ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},X'd97e310e1bc8ec428c9aae6d6d7f47cd',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},"Accepts unsecured communication, but requests clients to establish trust and security methods.  Will communicate insecurely to untrusted clients if they do not respond to request.",TRUE,,,,,,,,,Request Security (Optional),{72385233-70FA-11D1-864C-14A300000000},598,X'b920dc80c82ed111a89e00a0248d3021940100000500000084030000a086010000000000000000000100000003000000020000000200000040000000080000005c00530065007200760069006300650073005c0050006f006c006900630079004100670065006e0084030000a086010000000000000000000100000001000000020000000200000040000000080000000000000055f4b2375c004c006f00630015000f0001000800200265002002650058c47605f8ce78052c010000a086010000000000000000000100000002000000000000000100000040000000080000002d0039004100430031002d0034004400360044002d0041003100420030002d0031003500380037002c010000a08601000000000000000000010000000100000000000000010000004000000008000000650074005c00530065007200760069006300650073005c0050006f006c006900630079004100670000000000000000000000000000000000000000000100000001000000020000004000000008000000360043002d0033004200390037002d0034003500350032002d0038004500340035002d003900390000',,,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,{62F49E10-6C37-11D1-864C-14A300000000},{3F91A81A-7647-11D1-864D-D46A00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecFilter,"CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5738,,5738,ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},X'54538435f4f53b4a99b6ad4220fb424b',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Filter,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},"Matches all IP packets from this computer to any other computer, except broadcast, multicast, Kerberos, RSVP and ISAKMP (IKE).",TRUE,,,,,,,,,All IP Traffic,{7238523A-70FA-11D1-864C-14A300000000},598,X'b520dc80c82ed111a89e00a0248d30214a00000001000000020000000000020000000000020000000000dd9b3159e35ed211ace80060b0ecca170100000000000000ffffffff00000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{7238523E-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5732,,5732,ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},X'be0dbc34370ab840a5abd1fd74216a87',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},598,X'b920dc80c82ed111a89e00a0248d3021e40100000600000000000000000000000000000000000000010000000300000002000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000100000002000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000020000000200000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000000000001000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000100000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,{62F49E13-6C37-11D1-864C-14A300000000},{8A171DD3-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5737,,5737,ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},X'5b6b685780a46644a6235c7842599d47',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},Permit unsecured IP packets to pass through.,TRUE,,,,,,,,,Permit,{7238523B-70FA-11D1-864C-14A300000000},598,X'b920dc80c82ed111a89e00a0248d3021040000000000000000',,,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,{62F49E10-6C37-11D1-864C-14A300000000},{8A171DD2-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecFilter,"CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5739,,5739,ipsecFilter{72385235-70FA-11D1-864C-14A300000000},X'7d7a7478ae0b3a469c7c592307e3ed23',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Filter,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecFilter{72385235-70FA-11D1-864C-14A300000000},Matches all ICMP packets between this computer and any other computer.,TRUE,,,,,,,,,All ICMP Traffic,{72385235-70FA-11D1-864C-14A300000000},598,X'b520dc80c82ed111a89e00a0248d302152000000010000000200000000000200000000000a000000490043004d005000000063d219511d07d311ad220060b0ecca170100000000000000ffffffff00000000000000000000000001000000000000000000000000',,,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecPolicy,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5723,,5723,ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},X'372db9d44c055a4dae0a6f89cdd7b557',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},Communicate normally (unsecured). Use the default response rule to negotiate with servers that request security. Only the requested protocol and port traffic with that server is secured.,TRUE,,,,,,,,,Client (Respond Only),{72385236-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5724,,5724,ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},X'a8847572bcc55d498705b2e8ca8e17c2',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{72385237-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d30214001000073ec415f1d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNFA,"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5725,,5725,ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},X'43099316c046544f82e5b0f693bb41e3',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5734,,5734,ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},X'9464e180e27ccc48826dc62ceea68792',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},598,X'b920dc80c82ed111a89e00a0248d3021e40100000600000000000000000000000000000000000000010000000300000002000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000100000002000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000020000000200000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000000000001000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000100000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local",,,{62F49E13-6C37-11D1-864C-14A300000000},{8A171DD3-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecPolicy,"CN=ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5726,,5726,ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000},X'909206e621b8194a983fc75a5aff9760',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000},"For all IP traffic, always require security using Kerberos trust. Do NOT allow unsecured communication with untrusted clients.",TRUE,,,,,,,,,Secure Server (Require Security),{7238523C-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local","CN=ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{59319BF3-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=domain,DC=local;CN=ipsecNFA{7238523E-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5727,,5727,ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000},X'3aac56bd1ed86f49973d7c5fa8f837fd',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{7238523D-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d302140010000f97242591d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
